Sommet1;Sommet2;Time
0000;0238;41
0238;0000;41
0000;0159;46
0159;0000;46
0001;0012;36
0012;0001;36
0001;0235;44
0235;0001;44
0002;0110;69
0110;0002;69
0002;0139;50
0139;0002;50
0003;0262;33
0262;0003;33
0003;0210;41
0210;0003;41
0004;0171;43
0171;0004;43
0004;0251;35
0251;0004;35
0005;0013;67
0013;0005;67
0005;0239;54
0239;0005;54
0006;0055;56
0055;0006;56
0006;0258;46
0258;0006;46
0007;0290;39
0290;0007;39
0007;0311;79
0311;0007;79
0008;0350;38
0350;0008;38
0008;0309;58
0309;0008;58
0009;0338;28
0338;0009;28
0009;0078;62
0078;0009;62
0010;0277;42
0277;0010;42
0010;0108;36
0108;0010;36
0011;0154;32
0154;0011;32
0011;0054;41
0054;0011;41
0012;0213;42
0213;0012;42
0013;0151;57
0151;0013;57
0014;0124;46
0124;0014;46
0014;0064;28
0064;0014;28
0015;0318;37
0318;0015;37
0015;0319;73
0319;0015;73
0016;0119;98
0119;0016;98
0016;0331;62
0331;0016;62
0017;0288;89
0288;0017;89
0017;0040;41
0040;0017;41
0018;0163;32
0163;0018;32
0018;0061;56
0061;0018;56
0019;0236;31
0236;0019;31
0019;0093;33
0093;0019;33
0020;0129;48
0129;0020;48
0020;0283;38
0283;0020;38
0021;0086;46
0086;0021;46
0021;0075;51
0075;0021;51
0022;0084;39
0084;0022;39
0022;0120;81
0120;0022;81
0023;0097;35
0097;0023;35
0023;0287;57
0287;0023;57
0024;0084;51
0084;0024;51
0025;0193;42
0193;0025;42
0025;0253;35
0253;0025;35
0026;0098;31
0098;0026;31
0026;0230;64
0230;0026;64
0027;0239;64
0239;0027;64
0027;0246;59
0246;0027;59
0028;0029;79
0029;0028;79
0029;0374;46
0374;0029;46
0030;0354;24
0354;0030;24
0030;0150;44
0150;0030;44
0031;0041;28
0041;0031;28
0031;0144;36
0144;0031;36
0032;0343;54
0343;0032;54
0032;0303;41
0303;0032;41
0033;0344;52
0344;0033;52
0033;0304;41
0304;0033;41
0034;0248;36
0034;0041;57
0041;0034;57
0035;0111;34
0111;0035;34
0035;0172;40
0172;0035;40
0036;0198;105
0036;0037;39
0037;0036;39
0038;0336;35
0336;0038;35
0038;0289;38
0289;0038;38
0039;0153;38
0153;0039;38
0039;0267;46
0267;0039;46
0040;0297;37
0297;0040;37
0042;0190;42
0190;0042;42
0042;0215;35
0215;0042;35
0043;0066;41
0066;0043;41
0043;0328;57
0328;0043;57
0044;0162;54
0162;0044;54
0044;0250;64
0250;0044;64
0045;0348;43
0348;0045;43
0045;0155;35
0155;0045;35
0046;0242;63
0242;0046;63
0046;0329;46
0329;0046;46
0047;0148;46
0148;0047;46
0047;0195;41
0195;0047;41
0048;0182;66
0182;0048;66
0048;0318;60
0318;0048;60
0049;0164;42
0164;0049;42
0049;0241;40
0241;0049;40
0050;0077;54
0077;0050;54
0050;0109;62
0109;0050;62
0051;0137;62
0137;0051;62
0051;0202;69
0202;0051;69
0052;0201;20
0053;0372;47
0372;0053;47
0053;0167;33
0167;0053;33
0054;0145;51
0145;0054;51
0055;0127;60
0127;0055;60
0056;0351;59
0351;0056;59
0056;0362;75
0362;0056;75
0057;0150;35
0150;0057;35
0058;0307;31
0307;0058;31
0058;0369;31
0369;0058;31
0059;0224;72
0224;0059;72
0059;0162;53
0162;0059;53
0060;0299;63
0299;0060;63
